Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Population density (people per sq. km of land area),EN.POP.DNST,Seychelles,SYC,151.1021739,176.3717391,191.9630435,195.5413043,198.6065217,203.0847826,205.8195652,208.3543478,210.3521739,212.2282609,214.0478261,..
Population density (people per sq. km of land area),EN.POP.DNST,Sierra Leone,SLE,59.92502078,63.50882516,94.05080355,96.49292048,98.92889997,101.3407177,103.8225686,106.3669299,108.9121779,111.482793,114.0755057,..
Population density (people per sq. km of land area),EN.POP.DNST,Singapore,SGP,4547.958209,6011.771642,7524.6983,7636.721358,7714.702398,7806.77292,7908.720733,7882.377809,7897.305322,7965.878492,7918.951253,..
Population density (people per sq. km of land area),EN.POP.DNST,Sint Maarten (Dutch part),SXM,818.9705882,897.6176471,1018.823529,1076.676471,1108.382353,1141.911765,1175.558824,1193.352941,1202.794118,1223.764706,1244.411765,..
Population density (people per sq. km of land area),EN.POP.DNST,Slovak Republic,SVK,110.1702079,112.0316008,112.4517343,112.5726377,112.7006864,112.8031488,112.9533694,113.1287854,113.2855865,113.4389975,113.5363353,..
Population density (people per sq. km of land area),EN.POP.DNST,Slovenia,SVN,99.21355511,98.75496524,102.1140492,102.2816783,102.3823237,102.4461092,102.5241783,102.6108719,102.9922926,103.7119346,104.4088814,..
Population density (people per sq. km of land area),EN.POP.DNST,Solomon Islands,SLB,11.58167203,15.36184352,20.28449446,20.80618078,21.34244373,21.88853162,22.44022865,22.99514112,23.55301894,24.11550554,24.69421222,..
Population density (people per sq. km of land area),EN.POP.DNST,Somalia,SOM,11.15678261,13.90229381,19.83027704,20.48727165,21.21534575,21.94010584,22.78325469,23.6940431,24.56577613,25.47470271,26.36053177,..
Population density (people per sq. km of land area),EN.POP.DNST,South Africa,ZAF,32.87272173,38.59010131,43.80963737,44.41023832,45.11582076,46.0613013,46.51120197,46.6916791,47.26742039,47.88354945,48.47284785,..
Population density (people per sq. km of land area),EN.POP.DNST,South Sudan,SSD,..,..,16.93479341,17.57478043,17.74450335,17.71446046,17.51159939,16.86614973,16.45012739,16.53294827,16.78386372,..
Population density (people per sq. km of land area),EN.POP.DNST,Spain,ESP,77.82180442,81.29832465,93.50683713,93.2009456,92.92273645,92.95268592,93.04926296,93.27091015,93.66979208,94.3508089,94.81538375,..
Population density (people per sq. km of land area),EN.POP.DNST,Sri Lanka,LKA,276.2839898,299.4355924,325.7056291,328.2570563,331.3347154,338.8105278,342.5750893,346.468906,350.284495,352.4316946,354.3323634,..
Population density (people per sq. km of land area),EN.POP.DNST,St. Kitts and Nevis,KNA,156.2923077,174.85,183.5653846,183.7192308,183.8038462,183.8076923,183.8,183.7884615,183.6961538,183.5076923,183.2384615,..
Population density (people per sq. km of land area),EN.POP.DNST,St. Lucia,LCA,233.2803279,261.4754098,283.8098361,285.2098361,286.5639344,287.9065574,289.2016393,290.4311475,291.6196721,292.7590164,293.8311475,..
Population density (people per sq. km of land area),EN.POP.DNST,St. Martin (French part),MAF,..,..,720.52,712.78,705.22,700.4,696.22,689.92,677.04,662.42,651.06,..
Population density (people per sq. km of land area),EN.POP.DNST,St. Vincent and the Grenadines,VCT,288.4282051,291.8282051,277.1358974,275.5128205,274.1333333,273.0307692,271.7,270.6384615,269.9512821,269.0358974,268.2871795,..
Population density (people per sq. km of land area),EN.POP.DNST,Sudan,SDN,8.876635522,11.06850715,18.82215846,19.26697216,19.80901767,20.43424946,21.07985493,21.77720985,22.4834363,23.14351874,23.79041006,..
Population density (people per sq. km of land area),EN.POP.DNST,Suriname,SUR,2.645871795,3.0705,3.577634615,3.615044872,3.651807692,3.688942308,3.727262821,3.766403846,3.805865385,3.848083333,3.891442308,..
Population density (people per sq. km of land area),EN.POP.DNST,Sweden,SWE,21.01154147,21.78061456,23.36962,23.5684835,23.80349865,24.05826177,24.36244975,24.69294198,24.98145887,25.23766548,25.42072337,..
Population density (people per sq. km of land area),EN.POP.DNST,Switzerland,CHE,169.888411,181.7693047,202.3702045,204.7106489,207.2236309,209.5958526,211.8972478,213.883834,215.4651922,217.0076296,218.5990597,..
Population density (people per sq. km of land area),EN.POP.DNST,Syrian Arab Republic,SYR,67.5209272,88.73465013,123.1039427,117.0605075,109.3080216,104.5862768,103.274258,103.3783859,105.2848826,109.4497141,113.1220117,..
Population density (people per sq. km of land area),EN.POP.DNST,Tajikistan,TJK,38.71006002,44.81993427,56.84754215,58.13525293,59.99414927,61.41698249,62.86705094,64.30956841,65.7693782,67.27432092,68.76004755,..
Population density (people per sq. km of land area),EN.POP.DNST,Tanzania,TZA,29.58456988,38.90686837,53.9468695,55.60357078,57.36571687,59.31680176,61.41544592,63.52114699,65.57963762,67.59153195,69.65965003,..
Population density (people per sq. km of land area),EN.POP.DNST,Thailand,THA,108.1023508,123.444583,135.3657793,136.1909648,136.939347,137.5920394,138.2039911,138.7739083,139.2233201,139.5755701,139.9042142,..
Population density (people per sq. km of land area),EN.POP.DNST,Timor-Leste,TLS,50.98224613,59.06926698,76.50813719,78.1139879,79.67921991,81.09031607,82.35117687,83.6069267,84.85843981,86.10880968,87.42400807,..
Population density (people per sq. km of land area),EN.POP.DNST,Togo,TGO,71.26212539,92.07639272,127.3512594,130.6532267,134.0022614,137.4007906,140.8596065,144.3793896,147.944089,151.5553227,155.2230189,..
Population density (people per sq. km of land area),EN.POP.DNST,Tonga,TON,137.1208333,142.5041667,149.3083333,148.7347222,148.0916667,147.3916667,146.8152778,146.4097222,146.0416667,145.7652778,146.1861111,..
Population density (people per sq. km of land area),EN.POP.DNST,Trinidad and Tobago,TTO,246.8846004,259.688694,278.8259259,280.8438596,282.779922,284.6348928,286.4191033,288.2274854,293.3155945,296.2875244,295.9350877,..
Population density (people per sq. km of land area),EN.POP.DNST,Tunisia,TUN,54.32558574,63.67994336,71.92574022,72.73612255,73.56428939,74.39353115,75.21670314,76.0262809,76.80896627,77.55737642,78.28091529,..
Population density (people per sq. km of land area),EN.POP.DNST,Turkiye,TUR,70.58475111,83.30437613,97.80990736,99.49731299,101.49302,103.486322,105.2705768,106.6614165,107.5962527,108.4698933,109.3193197,..
Population density (people per sq. km of land area),EN.POP.DNST,Turkmenistan,TKM,7.916664184,9.723005554,11.61594706,11.83175154,12.05105441,12.2708297,12.48815994,12.70057881,12.90631796,13.10497308,13.30078522,..
Population density (people per sq. km of land area),EN.POP.DNST,Turks and Caicos Islands,TCA,12.32526316,19.73052632,33.76947368,35.36210526,36.82631579,38.46105263,40.25894737,41.94105263,43.67052632,45.34736842,46.60631579,..
Population density (people per sq. km of land area),EN.POP.DNST,Tuvalu,TUV,306.0666667,321.2666667,361.8,363.9333333,363.3,362.5666667,361.7333333,360.9333333,362.1666667,365.2,368.9666667,..
Population density (people per sq. km of land area),EN.POP.DNST,Uganda,UGA,88.01676593,120.2176918,170.9220776,175.9104827,181.211545,186.9008378,193.2390734,200.1151257,207.0386744,214.1885099,221.447292,..
Population density (people per sq. km of land area),EN.POP.DNST,Ukraine,UKR,89.56830931,84.88219556,78.70148105,78.52248843,78.15110739,77.94720434,77.68936629,77.38846021,77.0150466,76.60718502,76.16853469,..
